# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	23429
#@/user_id	dc32b531-effb-4e33-b228-85587d1b6c4a
a 	啊	c=99 d=0.100281 t=23361
a a a 	啊啊啊	c=1 d=1 t=5682
a a a a 	啊啊啊啊	c=1 d=0.1 t=14326
a a a a a 	啊啊啊啊啊	c=1 d=0.629935 t=14326
a a a a a a 	啊啊啊啊啊啊	c=1 d=1 t=11948
a a a a a a a 	啊啊啊啊啊啊啊	c=0 d=0.1 t=13145
a a a a a a a a 	啊啊啊啊啊啊啊啊	c=1 d=1.00044 t=19093
a a a a a a a a a 	啊啊啊啊啊啊啊啊啊	c=1 d=1 t=14327
a a a a a a a a a a a a a a a a a a a a a a a a a a a 	啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	c=1 d=1 t=18010
a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a 	啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	c=1 d=1 t=13146
a bi 	阿鼻	c=0 d=0.1 t=1468
a gui luo 	阿圭罗	c=2 d=1.99501 t=5731
a hao 	啊好	c=0 d=0.1 t=13414
a la shan kou 	阿拉山口	c=1 d=1 t=22098
a la si jia 	阿拉斯加	c=0 d=0.1 t=12779
a la si jia da li kou sha de 	阿拉斯加大力扣杀的	c=1 d=1 t=12780
a li yun 	阿里云	c=31 d=1.00276 t=22343
a li yun pan 	阿里云盘	c=2 d=1 t=14671
a long suo 	阿隆索	c=1 d=1 t=4884
a lun 	阿伦	c=0 d=0.1 t=5665
a lun xi le 	阿伦希勒	c=1 d=1 t=5666
a me duo 	啊么多	c=1 d=1 t=18004
a men 	阿门	c=1 d=1 t=10021
a ni 	啊你	c=0 d=0.1 t=6290
a sen na 	阿森纳	c=3 d=1 t=8466
a si da shi dai 	阿斯达时代	c=1 d=1 t=439
a zha er 	阿扎尔	c=1 d=1 t=13939
ai 	爱	c=3 d=1 t=22341
ai 	艾	c=1 d=1 t=10701
ai che 	爱车	c=1 d=1 t=723
ai chong 	爱宠	c=1 d=1 t=9604
ai da bu li 	爱搭不理	c=1 d=1 t=12171
ai de sen 	埃德森	c=4 d=1 t=9941
ai fu dun 	埃弗顿	c=1 d=1 t=8465
ai ge 	挨个	c=1 d=1 t=17625
ai hao nan 	爱好男	c=0 d=0.1 t=21394
ai hao nan su 	爱好男诉	c=1 d=1 t=21395
ai le 	爱了	c=0 d=0.1 t=10055
ai li ke sen 	埃里克森	c=0 d=0.1 t=4709
ai li ke sen jue de 	埃里克森觉得	c=1 d=1 t=4710
ai shang le 	爱上了	c=1 d=0.150236 t=693
ai shang le de kong jian 	爱上了的空间	c=4 d=1 t=17813
ai shang le deng ji 	爱上了等级	c=1 d=1 t=694
ai shang le ken de ji 	爱上了肯德基	c=3 d=1.00002 t=3558
ai shei 	爱谁	c=1 d=1 t=12039
ai ti qiu 	爱踢球	c=3 d=2.95566 t=14702
an 	按	c=9 d=1 t=21590
an 	暗	c=2 d=1 t=15376
an dan 	暗淡	c=1 d=1 t=22644
an fang 	安防	c=0 d=0.1 t=5020
an he qiao 	安和桥	c=1 d=1.09501 t=18117
an he qiao 	安河桥	c=1 d=1 t=18115
an he qiao bei 	安和桥北	c=1 d=1 t=18118
an he qiao bei 	安河桥北	c=3 d=1 t=18119
an hei 	暗黑	c=1 d=1 t=18927
an jian 	按键	c=6 d=1.98511 t=20960
an jian a 	按键啊	c=2 d=1.53526 t=8034
an jian shi 	案件时	c=0 d=0.1 t=4733
an jian shi bie 	案件时别	c=1 d=1 t=4734
an li 	案例	c=0 d=0.1 t=344
an li shi kuo da le kao shi jiao lv de 	案例是扩大了考试焦虑的	c=1 d=1 t=345
an mian yao 	安眠药	c=1 d=1 t=18350
an niu 	按钮	c=0 d=0.1 t=12864
an niu hou 	按钮后	c=1 d=1 t=12865
an pai 	安排	c=2 d=1 t=18876
an quan 	安全	c=4 d=0.190265 t=13297
an quan le 	安全了	c=1 d=1 t=13298
an quan wen ti 	安全问题	c=1 d=1 t=12825
an quan xing 	安全性	c=4 d=1.02612 t=12803
an shi da 	安师大	c=28 d=2.0675 t=22760
an shi da de 	安师大的	c=1 d=1 t=437
an shi da lai kan 	安师大来看	c=1 d=1 t=323
an shi da sa 	安师大萨	c=1 d=1 t=438
an xia 	按下	c=1 d=1 t=20999
an za hou 	按咋后	c=1 d=1 t=21461
an zhao 	按照	c=4 d=1 t=22956
an zhao qian mian 	按照前面	c=1 d=1 t=8080
an zhu 	按住	c=1 d=1 t=21014
an zhuan 	暗转	c=1 d=1 t=793
an zhuang 	安装	c=26 d=4.05678 t=22795
ang gui 	昂贵	c=1 d=1 t=16777
ang pan 	昂盘	c=1 d=1 t=3625
ang wo 	昂我	c=1 d=1 t=1678
ao 	傲	c=0 d=0.1 t=15953
ao er te jia 	奥尔特加	c=1 d=1 t=13187
ao si ka da jiang 	奥斯卡大奖	c=1 d=1 t=408
ba 	吧	c=15 d=1.0016 t=19383
ba 	把	c=31 d=1.86563 t=23196
ba ba 	粑粑	c=1 d=1 t=16922
ba bai nian qian 	八百年前	c=0 d=0.1 t=2624
ba na ge 	把那个	c=1 d=1 t=18531
ba sa luo na 	巴萨罗那	c=1 d=1 t=4609
ba ta 	把他	c=1 d=1 t=22333
ba wo 	把我	c=1 d=1 t=2506
ba wo de 	把我的	c=1 d=1 t=2019
ba xia lai 	拔下来	c=1 d=1 t=4700
bai 	摆	c=1 d=1 t=11686
bai 	白	c=1 d=1 t=9814
bai dian 	白点	c=1 d=1 t=12021
bai du 	百度	c=1 d=1 t=2660
bai du tie ba 	百度贴吧	c=1 d=1 t=10737
bai lan 	摆烂	c=1 d=1 t=10222
bai lu 	白露	c=1 d=1 t=5921
bai mang huo 	白忙活	c=2 d=2.03881 t=5713
bai mang huo le 	白忙活了	c=1 d=1 t=5706
bai mang huo yi tian 	白忙活一天	c=1 d=1 t=5708
bai nian 	拜年	c=1 d=1 t=4680
bai piao 	白嫖	c=0 d=0.1 t=12037
bai piao guai 	白嫖怪	c=1 d=1 t=12038
bai shi 	百事	c=1 d=1 t=6860
bai shi qiao nan 	白石桥南	c=1 d=1 t=11782
bai tai 	白苔	c=1 d=1 t=14640
bai tan 	摆摊	c=1 d=1 t=18574
bai tian 	白天	c=2 d=1.15645 t=18575
ban 	办	c=1 d=1 t=1330
ban 	版	c=1 d=0.199006 t=15086
ban 	绊	c=1 d=1 t=5660
ban 	般	c=1 d=1 t=5281
ban ben 	版本	c=19 d=1.0088 t=22227
ban ben de 	版本的	c=1 d=1 t=821
ban ben hou 	版本后	c=1 d=1 t=10804
ban chang 	半场	c=1 d=1 t=9881
ban fa 	办法	c=1 d=1 t=20398
ban jiang 	颁奖	c=1 d=1 t=11807
ban nian 	半年	c=2 d=1.9802 t=11828
ban nian qian 	半年前	c=1 d=1 t=13956
ban quan 	版权	c=5 d=4.61854 t=6884
ban tian 	半天	c=2 d=1 t=11258
ban tou ming 	半透明	c=1 d=1 t=3603
ban xiao shi 	半小时	c=2 d=1 t=12345
bang 	帮	c=0 d=0.1 t=13059
bang ding 	绑定	c=4 d=0.1 t=16018
bang ding de 	绑定的	c=1 d=1 t=16019
bang ren 	帮人	c=0 d=0.1 t=13061
bang wo 	帮我	c=10 d=1.04285 t=18557
bang wo hua 	帮我画	c=0 d=0.1 t=4665
bang wo hua yi ge 	帮我画一个	c=1 d=1 t=4666
bang wo xie yi 	帮我协议	c=1 d=1 t=557
bang zhu 	帮助	c=1 d=1 t=435
bao 	保	c=0 d=0.1 t=1938
bao 	包	c=2 d=1 t=19240
bao 	报	c=1 d=1 t=11794
bao 	爆	c=1 d=1 t=6005
bao chi 	保持	c=3 d=1 t=17204
bao chi you 	保持有	c=1 d=1 t=1135
bao cun 	保存	c=6 d=2.4201 t=22946
bao cun zai 	保存在	c=1 d=1 t=15769
bao cun zai na 	保存在哪	c=1 d=1 t=1860
bao cuo 	报错	c=7 d=1.02448 t=22182
bao cuo le 	报错了	c=2 d=1 t=21211
bao gao 	报告	c=3 d=1.71534 t=15411
bao guo 	包裹	c=1 d=1 t=22382
bao han 	包含	c=5 d=1.75869 t=22883
bao hu 	保护	c=2 d=1 t=12840
bao jing 	报警	c=1 d=1 t=10188
bao ku 	宝库	c=2 d=1.99501 t=18603
bao kuo 	包括	c=7 d=1 t=22859
bao liu 	保留	c=1 d=1 t=12307
bao lu 	暴露	c=2 d=0.1 t=20258
bao lu gei 	暴露给	c=1 d=1 t=20259
bao qian 	抱歉	c=1 d=1 t=11787
bao sha 	抱厦	c=1 d=1 t=11872
bao sha 	爆杀	c=1 d=1 t=11873
bao wen 	报文	c=3 d=1 t=21609
bao xiao 	报销	c=0 d=0.1 t=7474
bao yu 	暴雨	c=0 d=0.1 t=18869
bao zha 	爆炸	c=2 d=1 t=11924
bao zhen 	抱枕	c=1 d=1 t=9402
bao zheng 	保证	c=6 d=1.90937 t=22628
bao zhi 	报纸	c=0 d=0.1 t=1317
bei 	倍	c=2 d=1.11361 t=2043
bei 	北	c=0 d=0.1 t=18117
bei 	悲	c=0 d=0.1 t=18813
bei 	杯	c=4 d=1.00024 t=14949
bei 	被	c=49 d=2.50386 t=22135
bei ai 	悲哀	c=1 d=1 t=10167
bei an 	备案	c=15 d=2.92168 t=18849
bei an le a 	备案了啊	c=1 d=1 t=7151
bei an le ma 	备案了妈	c=1 d=1 t=7379
bei ci 	背刺	c=1 d=1 t=2047
bei ci 	被刺	c=1 d=1 t=2046
bei diao 	背调	c=0 d=0.1 t=6408
bei diao yong 	背调用	c=1 d=1 t=6409
bei er 	倍儿	c=0 d=0.1 t=3524
bei er xi huan ni 	倍儿喜欢你	c=1 d=1 t=3525
bei fan sha 	被反杀	c=1 d=1 t=7514
bei fang 	北方	c=1 d=1 t=11827
bei fen 	备份	c=13 d=1.09512 t=22369
bei fen le 	备份了	c=1 d=1 t=22360
bei feng 	被封	c=1 d=1 t=6456
bei feng le 	被封了	c=1 d=1 t=6454
bei hang 	北航	c=6 d=1 t=21169
bei hang de 	北航的	c=1 d=1 t=11864
bei jing 	北京	c=8 d=1.07577 t=20948
bei jing 	背景	c=2 d=1 t=20433
bei ju 	悲剧	c=1 d=1 t=17796
bei ke han mu 	贝克汉姆	c=1 d=1 t=23363
bei keng le 	被坑了	c=1 d=1 t=22549
bei lin e mu 	贝林厄姆	c=3 d=1 t=13038
bei ni 	被你	c=1 d=1.08437 t=21634
bei ni qi yun le 	被你气晕了	c=1 d=1 t=21601
bei ni shuo de 	被你说的	c=1 d=1 t=19906
bei ou 	北欧	c=1 d=1 t=11553
bei qiang 	被墙	c=2 d=1.95123 t=18791
bei qiang le 	被墙了	c=1 d=1 t=18789
bei shang de 	悲伤的	c=1 d=1 t=14725
bei shu 	倍数	c=2 d=1.81465 t=1099
bei wo 	被我	c=0 d=0.1 t=2873
bei wo de 	被我的	c=1 d=1 t=11869
bei xiang 	北向	c=1 d=1 t=2869
bei xiang 	背向	c=1 d=1 t=2867
bei ying 	背影	c=1 d=1 t=6177
bei yong 	备用	c=1 d=1 t=14215
bei yong ji 	备用机	c=1 d=1 t=12593
ben 	本	c=2 d=0.624663 t=22909
ben bu fen 	本部分	c=0 d=0.1 t=18590
ben bu fen ni 	本部分你	c=1 d=1 t=18591
ben cang ku de 	本仓库的	c=1 d=1 t=22910
